index,name,year,composer,type
881,Crausaz and Orton/Beauty Queen.mid,1953,"Gordon, Thomas (Tom) Renton",R
1077,Crausaz and Orton/Black Cinderella.mid,1900,"Wood, Florence M.",R
1105,Crausaz and Orton/Black Panther.mid,1933,"Du Page, Dick",N
1111,Crausaz and Orton/Black Rose.mid,1957,"Gordon, Thomas (Tom) Renton",R
1193,Crausaz and Orton/Blue Grass Beauties.mid,1902,"Kaiser, Joseph J.",M
1197,Crausaz and Orton/Blue Grass Queen  The.mid,1901,"Davies, William B.",R
1305,Crausaz and Orton/Bomb Shell.mid,1909,"Confare, Thomas R.  & Silver, Morris",R
1494,Crausaz and Orton/Buccaneer  The.mid,1911,"Kussel, Phillip",R
1526,Crausaz and Orton/Bugavue Rag  The.mid,1902,"Fairman, George W.",M
1568,"Crausaz and Orton/Bundle Of Rags, A.mid",1897,"Roberts, Robert S.",R
1707,Crausaz and Orton/Cakewalk Jubilee.mid,1977,"Gordon, Thomas (Tom) Renton",R
1766,Crausaz and Orton/Campmeetin' Echoes.mid,1921,"Frazee, Gerald",F
1923,Crausaz and Orton/Castle Square.mid,1914,"Roat, Charles E.",R
1939,"Crausaz and Orton/Catchy Thing, A.mid",1905,"Woolf, Dwight H.",M
1987,Crausaz and Orton/Cerise.mid,1914,"Williams, Jesse L.",R
2074,Crausaz and Orton/Cherry Pie.mid,1951,"Gordon, Thomas (Tom) Renton",R
2105,Crausaz and Orton/Chicken Parade  The.mid,1901,"Leschbrandt, E.",R
2123,Crausaz and Orton/Chiff Chaff.mid,1977,"Gordon, Thomas (Tom) Renton",R
2168,Crausaz and Orton/Chitterlin' Strut.mid,1924,"Fowler, Lemuel",R
2176,Crausaz and Orton/Chocolate Drops.mid,1902,"Von Tilzer, Harry",R
2189,Crausaz and Orton/Chopiano.mid,1922,"Lange, Henry W.",N
2212,Crausaz and Orton/Chrystal Chimes.mid,1900,"Murdock, Kelso & Murdock, Joseph Dickson",R
2229,Crausaz and Orton/Cindy Belle.mid,1967,"Gordon, Thomas (Tom) Renton",R
2288,Crausaz and Orton/Climax  The.mid,1900,"Ransom, Nellie Brooks",R
2322,Crausaz and Orton/Club Cabin  The.mid,1903,"Duguay, Samuel Emanuel",R
2382,Crausaz and Orton/Colored Chappies  The.mid,1902,"Trevelyan, Arthur",R
2405,Crausaz and Orton/Combination Salad.mid,1916,"Bafunno, Julius L.",F
2464,Crausaz and Orton/Coney Island Dip  The.mid,1901,"Ressegue, Addison J.",M
2465,Crausaz and Orton/Coney Island Girl  The.mid,1906,"Denney, Homer",R
2468,Crausaz and Orton/Coney Island Tickle.mid,1906,"Gasdorf, Alfred",R
2588,Crausaz and Orton/Coppertop.mid,1973,"Gordon, Thomas (Tom) Renton",R
2751,Crausaz and Orton/Crazy Sam.mid,n/a,"Thurban, Thomas W.",M
2764,Crausaz and Orton/Creole Beauty.mid,n/a,"Gordon, Thomas (Tom) Renton",R
2828,Crausaz and Orton/Cubist.mid,1918,"Griselle, Thomas",I
2841,Crausaz and Orton/Cul'ed Populashun    De.mid,1898,"Bunte, Fred. W.",n
2899,Crausaz and Orton/Dainty Foot Glide  The.mid,1915,"Tidd, George M.",R
2926,Crausaz and Orton/Dance Of The Hoo-Hoo.mid,1898,"Suckert, Emma Y.",R
2928,Crausaz and Orton/Dance Of The Oyster And The Clam.mid,1898,"Dicey, Ed. A.",R
2942,Crausaz and Orton/Dancing By Moonlight.mid,1923,"Losey, Frank Hoyt",F
2985,Crausaz and Orton/Dandy Sandy.mid,1900,"Webster, Howard P.",M
3080,Crausaz and Orton/Darky In The Woodpile.mid,1900,"Kleinbeck, Barbara F.",R
3087,"Crausaz and Orton/Dash Of Lavender, A.mid",n/a,"Thompson, N.",R
3113,Crausaz and Orton/Davis Fox Trot  The.mid,1914,"Davis, Uriel",F
3219,Crausaz and Orton/Diamond Lily  The.mid,1967,"Gordon, Thomas (Tom) Renton",R
3233,Crausaz and Orton/Didelphis or Opposum.mid,1902,"Marshall, George Pendelton",M
